stockid,stockname,date,BV
601166.SH,兴业银行,20081231,4902204.61
601166.SH,兴业银行,20080930,4668827.58
601166.SH,兴业银行,20080630,4388205.18
601166.SH,兴业银行,20080331,4202008.41
601166.SH,兴业银行,20071231,3889707.69
601166.SH,兴业银行,20070930,3699641.52
601166.SH,兴业银行,20070630,3461615.21
601166.SH,兴业银行,20070331,3312072.95
601166.SH,兴业银行,20061231,1619966.71
601166.SH,兴业银行,20060630,1414031.22
601166.SH,兴业银行,20051231,1278538.51
601166.SH,兴业银行,20041231,1008389.96
601166.SH,兴业银行,20031231,606557.92
601169.SH,北京银行,20140930,9208200
601169.SH,北京银行,20140630,8773000
601169.SH,北京银行,20140331,8366321.4
601169.SH,北京银行,20131231,7830610.8
601169.SH,北京银行,20130930,7802139.3
601169.SH,北京银行,20130630,7614417.9
601169.SH,北京银行,20130331,7616340.1
601169.SH,北京银行,20121231,7169071.4
601169.SH,北京银行,20120930,7011619.1
601169.SH,北京银行,20120630,6756990.1
601169.SH,北京银行,20120331,6556137.2
601169.SH,北京银行,20111231,5043352.3
601169.SH,北京银行,20110930,4822783.8
601169.SH,北京银行,20110630,4604971.1
601169.SH,北京银行,20110331,4512346.1
601169.SH,北京银行,20101231,4256688.4
601169.SH,北京银行,20100930,4267139.8
601169.SH,北京银行,20100630,4060829
601169.SH,北京银行,20100331,3990890.1
601169.SH,北京银行,20091231,3757777.1
601169.SH,北京银行,20090930,3644488.9
601169.SH,北京银行,20090630,3538558.6
601169.SH,北京银行,20090331,3516947
601169.SH,北京银行,20081231,3381363.3
601169.SH,北京银行,20080930,3127127.2
601169.SH,北京银行,20080630,2872255.9
601169.SH,北京银行,20080331,2844839.4
601169.SH,北京银行,20071231,2666794.5
601169.SH,北京银行,20070930,2613667.2
601169.SH,北京银行,20070331,1032092.9
601169.SH,北京银行,20061231,984029.2
601169.SH,北京银行,20051231,784168.3
601169.SH,北京银行,20041231,347504
601288.SH,农业银行,20140930,95869300
601288.SH,农业银行,20140630,90773700
601288.SH,农业银行,20140331,90514900
601288.SH,农业银行,20131231,84453700
601288.SH,农业银行,20130930,82877200
601288.SH,农业银行,20130630,79123100
601288.SH,农业银行,20130331,80031900
601288.SH,农业银行,20121231,75135400
601288.SH,农业银行,20120930,72704500
601288.SH,农业银行,20120630,69182600
601288.SH,农业银行,20120331,69398400
601288.SH,农业银行,20111231,64978800
601288.SH,农业银行,20110930,62053500
601288.SH,农业银行,20110630,58950900
601288.SH,农业银行,20110331,57657000
601288.SH,农业银行,20101231,54223600
601288.SH,农业银行,20100930,52827800
601288.SH,农业银行,20100630,35441700
601288.SH,农业银行,20091231,34292500
601288.SH,农业银行,20081231,29054100
601288.SH,农业银行,20071231,-72760500
601288.SH,农业银行,20061231,8400200
601288.SH,农业银行,20051231,7960700
601288.SH,农业银行,20041231,7806300
601288.SH,农业银行,20031231,13796900
601288.SH,农业银行,20021231,13604000
601328.SH,交通银行,20140930,45788000
601328.SH,交通银行,20140630,44254600
601328.SH,交通银行,20140331,44173600
601328.SH,交通银行,20131231,42148400
601328.SH,交通银行,20130930,41055500
601328.SH,交通银行,20130630,39815800
601328.SH,交通银行,20130331,40022700
601328.SH,交通银行,20121231,38144700
601328.SH,交通银行,20120930,36774200
601328.SH,交通银行,20120630,29905400
601328.SH,交通银行,20120331,28906700
601328.SH,交通银行,20111231,27278800
601328.SH,交通银行,20110930,25862400
