stockid,date,asset,equity,loan,deposit
601009,20090930,14656643,1185232.5,6568387.081,10007916.27
601009,20091231,14956582,1216820.875,6702805,10212722
601009,20100331,17371952,1282982.375,6756157.539,11214858.04
601009,20100630,19615724,1322486.625,7628787,12663376
601009,20100930,19856918,1385141.25,7520927.622,12526353.31
601009,20101231,22149260,1897039.875,8389166,13972433
601009,20110331,24088842,1974934.625,8577055.382,15087906.17
601009,20110630,26373924,1990296.25,9390680,16519154
601009,20110930,26321440,2056929.375,9602748.589,15545265.17
601009,20111231,28179170,2180427,10280497,16642428
601009,20120331,30788548,2281306.5,10805738.58,19172659.37
601009,20120630,33428080,2330506.75,11732125,20816350
601009,20120930,33258968,2383706.5,12118677.62,20669381.8
601009,20121231,34379216,2481075.5,12526866,21365580
601009,20130331,39051868,2614031.25,12910800.57,23997414.48
601009,20130630,41002064,2606178.5,13555548,25195812
601009,20130930,42609972,2664350.5,14426716.08,25538000.98
601009,20131231,43405728,2685613.5,14696140,26014932
601009,20140331,50416420,2873407.25,15829728.94,33611450.44
601009,20140630,51373288,2947615.25,16130166,34249372
601009,20140930,54628716,3097684.5,16731866,34290760
601166,20031231,25906032,606557.9375,15694500,20768280
601166,20041231,34006472,1008389.938,20301082,28318652
601166,20051231,47509412,1278538.5,24257150,35521812
601166,20060630,53221956,1414031.25,29225754,38521908
601166,20061231,61770436,1619966.75,32451192,42319672
601166,20070331,71142664,3312073,32978703.4,38018233.96
601166,20070630,81555496,3461615.25,37805648,43582792
601166,20070930,85761512,3699641.5,40309439.68,50909868.74
601166,20071231,85133528,3889707.75,40014276,50537084
601166,20080331,86616960,4202008.5,41706632.3,50455614.42
601166,20080630,91696392,4388205,44152412,53414456
601166,20080930,92531264,4668827.5,45262917.85,57321228.57
601166,20081231,102089880,4902204.5,49938644,63242596
601166,20090331,109723680,5199214.5,57955257.07,74673998.95
601166,20090630,121363496,5309120,64103324,82595640
601166,20090930,126631160,5584779,66691685.92,85635296.48
601166,20091231,133216152,5959746,70159744,90088448
601166,20100331,149406976,6170851,69048458.29,88108530.53
601166,20100630,171480368,8392149,79249680,101125688
601166,20100930,181026720,8890740,83613783.3,110863408.3
