stockid,stockname,date,asset,equity
601009.SH,南京银行,20090630,12969998.75,1148082.88
601009.SH,南京银行,20090331,11233103.35,1171035.43
601009.SH,南京银行,20081231,9370607.14,1134559.46
601009.SH,南京银行,20080930,9496071.71,1075130
601009.SH,南京银行,20080630,9004577.22,1018794.74
601009.SH,南京银行,20080331,8713707.47,1043345.62
601009.SH,南京银行,20071231,7606371.18,994246.31
601009.SH,南京银行,20070930,8059095.13,973580.53
601009.SH,南京银行,20070630,7546469.18,273511.04
601009.SH,南京银行,20061231,5796730.27,261113.58
601009.SH,南京银行,20051231,4859326.62,210427.5
601009.SH,南京银行,20041231,3827165.79,166502.6
601009.SH,南京银行,20031231,2958244.32,131761.78
601009.SH,南京银行,20021231,2625857.85,123258.34
601166.SH,兴业银行,20140930,399557700,23691600
601166.SH,兴业银行,20140630,394820000,22325600
601166.SH,兴业银行,20140331,379314500,21743400
601166.SH,兴业银行,20131231,367743500,20117100
601166.SH,兴业银行,20130930,363365000,19581000
601166.SH,兴业银行,20130630,357727800,18556000
601166.SH,兴业银行,20130331,346961100,18246200
601166.SH,兴业银行,20121231,325097500,17063500
601166.SH,兴业银行,20120930,296468600,13887900
601166.SH,兴业银行,20120630,278045100,13065700
601166.SH,兴业银行,20120331,262939800,12486000
601166.SH,兴业银行,20111231,240879800,11607800
601166.SH,兴业银行,20110930,209210900,10728400
601166.SH,兴业银行,20110630,208990600,10157400
601166.SH,兴业银行,20110331,191699042.8,9749104.75
601166.SH,兴业银行,20101231,184967337.9,9199528.73
601166.SH,兴业银行,20100930,181026723.7,8890740.45
601166.SH,兴业银行,20100630,171480374.5,8392148.61
601166.SH,兴业银行,20100331,149406971.9,6170851.1
601166.SH,兴业银行,20091231,133216155.2,5959746.16
601166.SH,兴业银行,20090930,126631161.5,5584778.86
601166.SH,兴业银行,20090630,121363497,5309119.82
601166.SH,兴业银行,20090331,109723676.2,5199214.61
601166.SH,兴业银行,20081231,102089882.5,4902204.61
601166.SH,兴业银行,20080930,92531262.65,4668827.58
601166.SH,兴业银行,20080630,91696390.57,4388205.18
601166.SH,兴业银行,20080331,86616962.79,4202008.41
601166.SH,兴业银行,20071231,85133527,3889707.69
601166.SH,兴业银行,20070930,85761510.47,3699641.52
601166.SH,兴业银行,20070630,81555498.47,3461615.21
601166.SH,兴业银行,20070331,71142663.15,3312072.95
601166.SH,兴业银行,20061231,61770434.24,1619966.71
601166.SH,兴业银行,20060630,53221954.52,1414031.22
601166.SH,兴业银行,20051231,47509410.12,1278538.51
601166.SH,兴业银行,20041231,34006470.72,1008389.96
601166.SH,兴业银行,20031231,25906031.83,606557.92
601169.SH,北京银行,20140930,149065300,9208200
601169.SH,北京银行,20140630,147560600,8773000
601169.SH,北京银行,20140331,138959063.5,8366321.4
