stockid,stockname,date,revenue,interestincome,interestexpense,noninterestexpense,adminexpense
600015.SH,华夏银行,20131231,"4,521,900.00 ","7,627,200.00 ","3,735,100.00 ","54,900.00 ","1,760,400.00 "
600015.SH,华夏银行,20130930,"3,336,500.00 ","5,564,600.00 ","2,678,400.00 ","34,000.00 ","1,305,000.00 "
600015.SH,华夏银行,20130630,"2,220,700.00 ","3,642,000.00 ","1,726,600.00 ","21,700.00 ","866,100.00 "
600015.SH,华夏银行,20130331,"1,063,855.58 ","1,810,429.94 ","883,982.83 ","8,774.14 ","436,411.35 "
600015.SH,华夏银行,20121231,"3,977,695.11 ","7,341,643.84 ","3,805,115.44 ","39,774.61 ","1,589,234.85 "
600015.SH,华夏银行,20120930,"2,937,228.76 ","5,528,003.17 ","2,922,884.47 ","30,147.16 ","1,197,824.36 "
600015.SH,华夏银行,20120630,"1,945,217.65 ","3,679,618.24 ","1,959,018.70 ","20,783.96 ","789,157.27 "
600015.SH,华夏银行,20120331,"903,674.05 ","1,818,628.22 ","1,013,758.81 ","11,318.39 ","405,305.35 "
600015.SH,华夏银行,20111231,"3,354,379.54 ","6,254,825.97 ","3,224,323.32 ","41,876.31 ","1,405,005.07 "
600015.SH,华夏银行,20110930,"2,457,724.22 ","4,538,422.57 ","2,312,572.67 ","32,501.63 ","1,038,188.40 "
600015.SH,华夏银行,20110630,"1,586,642.35 ","2,974,953.08 ","1,549,316.57 ","22,080.49 ","675,767.66 "
600015.SH,华夏银行,20110331,"739,941.55 ","1,395,841.60 ","732,875.63 ","9,461.89 ","314,567.67 "
600015.SH,华夏银行,20101231,"2,447,889.46 ","4,337,889.44 ","2,060,829.49 ","34,680.79 ","1,062,658.38 "
600015.SH,华夏银行,20100930,"1,771,882.21 ","3,165,799.68 ","1,525,712.36 ","23,144.62 ","747,034.96 "
600015.SH,华夏银行,20100630,"1,156,128.17 ","2,012,716.64 ","950,315.23 ","15,902.83 ","495,768.06 "
600015.SH,华夏银行,20100331,"560,110.60 ","964,772.47 ","457,532.59 ","8,812.89 ","263,031.69 "
600015.SH,华夏银行,20091231,"1,712,963.49 ","3,251,255.75 ","1,669,928.00 ","27,946.69 ","768,789.28 "
600015.SH,华夏银行,20090930,"1,230,441.78 ","2,287,390.68 ","1,370,989.80 ","18,512.27 ","536,140.12 "
600015.SH,华夏银行,20090630,"774,243.15 ","1,497,375.73 ","937,034.44 ","12,366.52 ","343,834.99 "
600015.SH,华夏银行,20090331,"361,838.78 ","756,764.16 ","498,553.58 ","5,932.38 ","164,950.08 "
600015.SH,华夏银行,20081231,"1,761,136.59 ","3,441,042.53 ","2,090,992.92 ","24,069.59 ","729,206.89 "
600015.SH,华夏银行,20080930,"1,318,164.55 ","2,567,320.62 ","1,517,132.89 ","17,358.80 ","505,458.44 "
600015.SH,华夏银行,20080630,"872,451.00 ","1,653,486.73 ","952,493.72 ","11,440.88 ","324,887.00 "
600015.SH,华夏银行,20080331,"434,867.85 ","822,505.74 ","481,404.67 ","5,801.76 ","168,265.31 "
600015.SH,华夏银行,20071231,"1,426,028.16 ","2,288,593.09 ","1,162,999.17 ","26,194.29 ","575,973.09 "
600015.SH,华夏银行,20070930,"1,021,761.27 ","1,602,541.13 ","808,955.24 ","18,141.38 ","373,765.30 "
600015.SH,华夏银行,20070630,"654,188.48 ","966,009.39 ","469,253.96 ","9,045.81 ","244,234.05 "
600015.SH,华夏银行,20070331,"315,308.99 ","452,672.20 ","221,098.11 ","4,150.18 ","141,012.24 "
600015.SH,华夏银行,20061231,"1,007,047.75 ","1,530,166.92 ","790,591.14 ","10,619.43 ","430,391.45 "
600015.SH,华夏银行,20060930,"728,481.33 ","1,115,989.84 ","581,122.76 ","7,273.90 ","288,340.18 "
600015.SH,华夏银行,20060630,"822,886.84 ","1,158,468.29 ","365,365.54 ","3,987.39 ",0.00 
600015.SH,华夏银行,20060331,"230,525.43 ","349,179.73 ","179,241.97 ","1,906.52 ","100,708.83 "
600015.SH,华夏银行,20051231,"763,088.77 ","1,165,284.35 ","605,125.59 ","9,877.54 ","348,892.82 "
600015.SH,华夏银行,20050930,"995,576.06 ","981,904.89 ",0.00 ,"6,987.38 ",0.00 
600015.SH,华夏银行,20050630,"640,748.03 ","632,742.24 ",0.00 ,"5,104.61 ",0.00 
600015.SH,华夏银行,20050331,"300,072.87 ","295,514.92 ",0.00 ,"1,356.19 ",0.00 
600015.SH,华夏银行,20041231,"629,155.16 ","1,043,948.44 ","447,086.09 ","6,439.13 ","273,431.69 "
