stockid,stockname,date,lag_close,open,high,low,close,volume,amount
881001.WI,万得全A,20140113,2233.5439,2234.2713,2251.2424,2213.3743,2225.104,13400381335,1.35E+11
881001.WI,万得全A,20140114,2225.104,2223.1963,2257.0753,2216.1436,2257.0748,14712543382,1.45E+11
881001.WI,万得全A,20140115,2257.0748,2254.9875,2264.5621,2247.4291,2264.3103,14490812721,1.54E+11
881001.WI,万得全A,20140116,2264.3103,2265.7354,2265.7354,2265.7354,2265.7354,15141192989,1.61E+11
881001.WI,万得全A,20140117,2265.7354,2253.5805,2254.2318,2236.2877,2237.6606,13660714424,1.43E+11
881001.WI,万得全A,20140120,2237.6606,2233.8584,2242.7424,2211.8253,2222.3265,12411687004,1.34E+11
881001.WI,万得全A,20140121,2222.3265,2223.0349,2252.7263,2223.0349,2252.0037,13297107892,1.45E+11
881001.WI,万得全A,20140122,2252.0037,2254.4373,2308.3402,2253.7909,2308.3399,20098585164,2.12E+11
881001.WI,万得全A,20140123,2308.3399,2307.7745,2322.2559,2304.7724,2312.1356,18407033105,2.08E+11
881001.WI,万得全A,20140124,2312.1356,2306.7889,2342.2258,2303.9496,2335.9412,20042332174,2.23E+11
881001.WI,万得全A,20140127,2335.9412,2324.4454,2336.1502,2310.0532,2317.7889,19781283835,2.17E+11
881001.WI,万得全A,20140128,2317.7889,2320.4483,2332.959,2300.289,2317.2876,15625454539,1.74E+11
881001.WI,万得全A,20140129,2317.2876,2321.7303,2336.7193,2320.0877,2334.6716,15697813229,1.78E+11
881001.WI,万得全A,20140130,2334.6716,2330.3195,2330.3195,2311.7768,2316.1153,13409181499,1.56E+11
881001.WI,万得全A,20140207,2316.1153,2302.4875,2344.8217,2297.0122,2344.8217,15783907241,1.80E+11
881001.WI,万得全A,20140210,2344.8217,2353.1635,2407.6028,2353.1635,2406.7256,25827604064,2.87E+11
881001.WI,万得全A,20140211,2406.7256,2407.9357,2426.1472,2391.0644,2417.1975,28073333079,3.05E+11
881001.WI,万得全A,20140212,2417.1975,2418.4546,2435.7584,2408.137,2435.7584,25433043262,2.77E+11
881001.WI,万得全A,20140213,2435.7584,2433.1166,2443.8669,2407.1927,2407.1927,28122829202,2.99E+11
881001.WI,万得全A,20140214,2407.1927,2406.1028,2439.7267,2403.6478,2439.7267,22260470876,2.43E+11
881001.WI,万得全A,20140217,2439.7267,2451.8898,2475.376,2446.4184,2475.376,27854464256,3.07E+11
881001.WI,万得全A,20140218,2475.376,2475.4699,2475.4699,2450.6133,2459.5531,28382892366,3.15E+11
881001.WI,万得全A,20140219,2459.5531,2457.7861,2483.8101,2445.6821,2473.8054,29054955308,3.01E+11
881001.WI,万得全A,20140220,2473.8054,2477.8351,2486.0458,2441.2644,2442.767,29369130358,2.95E+11
881001.WI,万得全A,20140221,2442.767,2438.761,2445.099,2406.0175,2425.6615,22311829904,2.30E+11
881001.WI,万得全A,20140224,2425.6615,2411.8972,2411.8972,2369.7352,2402.2019,24033792667,2.54E+11
881001.WI,万得全A,20140225,2402.2019,2404.5373,2419.2646,2312.0822,2322.892,29329864437,3.30E+11
881001.WI,万得全A,20140226,2322.892,2309.1426,2333.124,2284.8028,2333.124,22491951353,2.36E+11
881001.WI,万得全A,20140227,2333.124,2338.5375,2362.5638,2307.4409,2310.2005,25588135975,2.71E+11
881001.WI,万得全A,20140228,2310.2005,2304.6921,2336.4747,2281.4329,2336.2127,21628963166,2.28E+11
881001.WI,万得全A,20140303,2336.2127,2333.421,2369.1244,2328.3375,2369.1244,23440344146,2.39E+11
881001.WI,万得全A,20140304,2369.1244,2361.159,2369.6237,2339.6223,2366.2538,22513000533,2.39E+11
881001.WI,万得全A,20140305,2366.2538,2370.6262,2372.6352,2348.2945,2352.4065,20860171119,2.18E+11
881001.WI,万得全A,20140306,2352.4065,2347.6812,2364.3318,2319.6466,2357.8737,21055966029,2.19E+11
881001.WI,万得全A,20140307,2357.8737,2355.7557,2372.539,2340.7038,2350.6957,20234723572,2.14E+11
881001.WI,万得全A,20140310,2350.6957,2331.1046,2331.1046,2264.5636,2267.4734,21850535665,2.17E+11
881001.WI,万得全A,20140311,2267.4734,2260.6411,2285.0775,2250.643,2271.7781,17817459137,1.80E+11
881001.WI,万得全A,20140312,2271.7781,2268.3053,2291.1051,2240.1396,2272.4683,19242332880,1.85E+11
881001.WI,万得全A,20140313,2272.4683,2274.8619,2304.3947,2273.2909,2301.9955,18142412716,1.71E+11
