stockid,stockname,date,asset,asset,equity,eta
600016.SH,民生银行,20130930,331321900,19.61860097,19622600,0.059225183
600016.SH,民生银行,20130630,341009300,19.64742031,19120700,0.056070905
600016.SH,民生银行,20130331,329988100,19.61456715,18366800,0.055658977
600016.SH,民生银行,20121231,321200100,19.58757485,16854400,0.052473209
600016.SH,民生银行,20120930,280957000,19.45371219,15960000,0.056805846
600016.SH,民生银行,20120630,259406600,19.37390727,15471200,0.059640734
600016.SH,民生银行,20120331,241723000,19.303303,14354300,0.059383261
600016.SH,民生银行,20111231,222906400,19.22226251,13411000,0.060164266
600016.SH,民生银行,20110930,212180600,19.17294836,12428400,0.058574629
600016.SH,民生银行,20110630,216100500,19.19125414,11680900,0.054053091
600016.SH,民生银行,20110331,204270000,19.13495321,11160800,0.05463749
600016.SH,民生银行,20101231,182373700,19.02156844,10525700,0.05771501
600016.SH,民生银行,20100930,176439500,18.9884886,10122400,0.057370373
600016.SH,民生银行,20100630,163077600,18.90973672,9689400,0.059415885
600016.SH,民生银行,20100331,148491700,18.81603962,9355500,0.063003521
600016.SH,民生银行,20091231,142639200,18.77582892,8889400,0.062320877
600016.SH,民生银行,20090930,140293600,18.75924793,6041100,0.04306041
600016.SH,民生银行,20090630,141001400,18.76428038,5805200,0.041171222
600016.SH,民生银行,20090331,116155100,18.57043692,5757300,0.049565624
600016.SH,民生银行,20081231,105435000,18.47360521,5467200,0.051853749
600016.SH,民生银行,20080930,106405508.6,18.48276791,5766682.7,0.05419534
600016.SH,民生银行,20080630,106221098.6,18.48103332,5522289.1,0.051988627
600016.SH,民生银行,20080331,100354122.8,18.42421572,4931393.6,0.04913992
600016.SH,民生银行,20071231,91979641,18.33707782,5018617.5,0.054562264
600016.SH,民生银行,20070930,94460110,18.36368819,4522508.7,0.047877445
600016.SH,民生银行,20070630,85209956.4,18.26062884,4291531.5,0.050364203
600016.SH,民生银行,20070331,69250962.7,18.0532476,2039525.2,0.029451218
600016.SH,民生银行,20061231,70044932.3,18.06464748,1930506,0.027560966
600016.SH,民生银行,20060930,65020231.8,17.99020904,1740309.5,0.026765661
600016.SH,民生银行,20060630,62543157.4,17.95136739,1660577.6,0.026550908
600016.SH,民生银行,20060331,56762804,17.85439181,1591406.1,0.028036073
600016.SH,民生银行,20051231,55750527.9,17.83639744,1538579.3,0.027597574
600016.SH,民生银行,20050930,51877212.8,17.76439019,1483176.6,0.028590137
600016.SH,民生银行,20050630,51233501.3,17.7519042,1381551.9,0.026965791
600016.SH,民生银行,20050331,46775102.7,17.66086163,1351460.8,0.028892738
600016.SH,民生银行,20041231,44539868.2,17.61189526,1290715.8,0.028978887
600016.SH,民生银行,20040930,42179550,17.55744606,1243941.2,0.029491571
600016.SH,民生银行,20040630,40588065.5,17.51898463,1194560.7,0.029431329
600016.SH,民生银行,20040331,37917647.1,17.45092718,1167648.8,0.030794337
600016.SH,民生银行,20031231,36106441,17.40198183,965020.4,0.026727098
600016.SH,民生银行,20030930,35901928.5,17.39630157,727502.6,0.020263608
600016.SH,民生银行,20030630,32978238.7,17.31135847,664186,0.02014013
600016.SH,民生银行,20030331,25447850.2,17.05214183,629123.6,0.024722073
600016.SH,民生银行,20021231,24628085.3,17.01939803,600381,0.0243779
600016.SH,民生银行,20020930,21595732.8,16.8880063,592777.3,0.027448816
600016.SH,民生银行,20020630,19597759,16.79092578,569814.6,0.029075498
600016.SH,民生银行,20020331,14162887.2,16.46613552,562698.7,0.039730508
600016.SH,民生银行,20011231,13889842,16.44666834,542490.3,0.039056621
600016.SH,民生银行,20010930,11822844.05,16.28554415,609861.41,0.051583308
600016.SH,民生银行,20010630,10030323.61,16.12112342,585445.04,0.058367513
