stockid,stockname,date,close,stockvalue
600016.SH,民生银行,20080115,7.1572,2.29929E+11
600016.SH,民生银行,20080116,6.7831,2.17912E+11
600016.SH,民生银行,20080117,6.7831,2.17912E+11
600016.SH,民生银行,20080118,6.7065,2.1545E+11
600016.SH,民生银行,20080121,6.3865,2.0517E+11
600016.SH,民生银行,20080122,5.9177,1.90112E+11
600016.SH,民生银行,20080123,6.107,1.96193E+11
600016.SH,民生银行,20080124,6.1025,1.96048E+11
600016.SH,民生银行,20080125,6.2648,2.01261E+11
600016.SH,民生银行,20080128,5.8051,1.86492E+11
600016.SH,民生银行,20080129,5.769,1.85334E+11
600016.SH,民生银行,20080130,5.5076,1.76936E+11
600016.SH,民生银行,20080131,5.4084,1.7375E+11
600016.SH,民生银行,20080201,5.5166,1.77225E+11
600016.SH,民生银行,20080204,6.0665,1.9489E+11
600016.SH,民生银行,20080205,6.1521,1.97641E+11
600016.SH,民生银行,20080213,5.9989,1.92718E+11
600016.SH,民生银行,20080214,6.1206,1.96627E+11
600016.SH,民生银行,20080215,6.0169,1.93297E+11
600016.SH,民生银行,20080218,6.0169,1.93297E+11
600016.SH,民生银行,20080219,6.2603,2.01116E+11
600016.SH,民生银行,20080220,6.0079,1.93008E+11
600016.SH,民生银行,20080221,5.8907,1.89243E+11
600016.SH,民生银行,20080222,5.6293,1.80845E+11
600016.SH,民生银行,20080225,5.5707,1.78963E+11
600016.SH,民生银行,20080226,5.8501,1.8794E+11
600016.SH,民生银行,20080227,6.1431,1.97352E+11
600016.SH,民生银行,20080228,6.0935,1.95759E+11
600016.SH,民生银行,20080229,6.1792,1.9851E+11
600016.SH,民生银行,20080303,6.2693,2.01406E+11
600016.SH,民生银行,20080304,6.1206,1.96628E+11
600016.SH,民生银行,20080305,6.0484,1.94311E+11
600016.SH,民生银行,20080306,6.1837,1.98655E+11
600016.SH,民生银行,20080307,6.0935,1.95759E+11
600016.SH,民生银行,20080310,5.7149,1.83597E+11
600016.SH,民生银行,20080311,5.778,1.85624E+11
600016.SH,民生银行,20080312,5.6608,1.81859E+11
600016.SH,民生银行,20080313,5.6473,1.81425E+11
600016.SH,民生银行,20080314,5.5617,1.78674E+11
600016.SH,民生银行,20080317,5.3814,1.72882E+11
600016.SH,民生银行,20080318,5.2282,1.67959E+11
600016.SH,民生银行,20080319,5.3679,1.72448E+11
600016.SH,民生银行,20080320,5.4445,1.74909E+11
600016.SH,民生银行,20080321,5.3904,1.73172E+11
600016.SH,民生银行,20080324,5.3904,1.73172E+11
600016.SH,民生银行,20080325,5.1335,1.64918E+11
600016.SH,民生银行,20080326,4.9893,1.60285E+11
600016.SH,民生银行,20080327,4.6918,1.50729E+11
600016.SH,民生银行,20080328,4.9938,1.6043E+11
600016.SH,民生银行,20080331,4.827,1.55073E+11
600016.SH,民生银行,20080401,4.8,1.54204E+11
600016.SH,民生银行,20080402,5.0434,1.62023E+11
600016.SH,民生银行,20080403,5.2237,1.67814E+11
600016.SH,民生银行,20080407,5.3943,1.72607E+11
600016.SH,民生银行,20080408,5.3825,1.7223E+11
600016.SH,民生银行,20080409,5.0589,1.61878E+11
600016.SH,民生银行,20080410,5.0825,1.62631E+11
600016.SH,民生银行,20080411,5.1354,1.64325E+11
600016.SH,民生银行,20080414,4.7589,1.52278E+11
600016.SH,民生银行,20080415,4.7589,1.52278E+11
600016.SH,民生银行,20080416,4.5766,1.46443E+11
600016.SH,民生银行,20080417,4.2825,1.37031E+11
600016.SH,民生银行,20080418,4.0825,1.30632E+11
600016.SH,民生银行,20080421,4.1707,1.33455E+11
600016.SH,民生银行,20080422,4.3825,1.40231E+11
600016.SH,民生银行,20080423,4.6236,1.47949E+11
600016.SH,民生银行,20080424,5.0884,1.62819E+11
600016.SH,民生银行,20080425,5.0354,1.61125E+11
600016.SH,民生银行,20080428,4.8825,1.56231E+11
600016.SH,民生银行,20080429,4.8825,1.56231E+11
600016.SH,民生银行,20080430,5.1531,1.64889E+11
600016.SH,民生银行,20080505,5.1531,1.64889E+11
600016.SH,民生银行,20080506,5.0001,1.59996E+11
600016.SH,民生银行,20080507,4.8354,1.54725E+11
600016.SH,民生银行,20080508,4.8531,1.5529E+11
600016.SH,民生银行,20080509,4.6707,1.49455E+11
600016.SH,民生银行,20080512,4.6884,1.50019E+11
